iso_code,Sputnik V,Sinopharm/Beijing,Covaxin,Moderna,EpiVacCorona,Sinovac,Sinopharm/Wuhan,Pfizer/BioNTech,Johnson&Johnson,Oxford/AstraZeneca,CanSino
AFG,0,0,0,0,0,0,0,0,0,1,0
ALB,0,0,0,0,0,1,0,1,0,0,0
DZA,1,0,0,0,0,0,0,0,0,0,0
AND,0,0,0,0,0,0,0,1,0,1,0
AGO,0,0,0,0,0,0,0,0,0,1,0
AIA,0,0,0,0,0,0,0,0,0,1,0
ATG,0,0,0,0,0,0,0,0,0,1,0
ARG,1,1,0,0,0,0,0,0,0,1,0
ARM,1,0,0,0,0,0,0,0,0,0,0
ABW,0,0,0,0,0,0,0,1,0,0,0
AUS,0,0,0,0,0,0,0,1,0,1,0
AUT,0,0,0,1,0,0,0,1,0,1,0
AZE,0,0,0,0,0,1,0,0,0,0,0
BHS,0,0,0,0,0,0,0,0,0,1,0
BHR,1,1,0,0,0,0,0,1,0,1,0
BGD,0,0,0,0,0,0,0,0,0,1,0
BRB,0,0,0,0,0,0,0,0,0,1,0
BLR,1,0,0,0,0,0,0,0,0,0,0
BEL,0,0,0,1,0,0,0,1,0,1,0
BLZ,0,0,0,0,0,0,0,0,0,1,0
BMU,0,0,0,0,0,0,0,1,0,0,0
BTN,0,0,0,0,0,0,0,0,0,1,0
BOL,1,1,0,0,0,0,0,0,0,1,0
BIH,1,0,0,0,0,1,0,1,0,1,0
BWA,0,0,0,0,0,0,0,0,0,1,0
BRA,0,0,0,0,0,1,0,0,0,1,0
BRN,0,0,0,0,0,0,0,0,0,1,0
BGR,0,0,0,1,0,0,0,1,0,1,0
KHM,0,1,0,0,0,1,0,0,0,1,0
CMR,0,1,0,0,0,0,0,0,0,0,0
CAN,0,0,0,1,0,0,0,1,0,1,0
CPV,0,0,0,0,0,0,0,0,0,1,0
CYM,0,0,0,0,0,0,0,1,0,0,0
CHL,0,0,0,0,0,1,0,1,0,0,0
CHN,0,1,0,0,0,1,1,0,0,0,0
COL,0,0,0,0,0,1,0,1,0,0,0
COG,1,1,0,0,0,0,0,0,0,0,0
CRI,0,0,0,0,0,0,0,1,0,0,0
CIV,0,0,0,0,0,0,0,0,0,1,0
HRV,0,0,0,1,0,0,0,1,0,1,0
CUW,0,0,0,1,0,0,0,1,0,0,0
CYP,0,0,0,0,0,0,0,1,0,0,0
CZE,0,0,0,1,0,0,0,1,0,1,0
DNK,0,0,0,1,0,0,0,1,0,1,0
DMA,0,0,0,0,0,0,0,0,0,1,0
DOM,0,0,0,0,0,1,0,0,0,1,0
ECU,0,0,0,0,0,1,0,1,0,1,0
EGY,0,1,0,0,0,0,0,0,0,1,0
SLV,0,0,0,0,0,1,0,1,0,1,0
GNQ,0,1,0,0,0,0,0,0,0,0,0
EST,0,0,0,1,0,0,0,1,0,1,0
SWZ,0,0,0,0,0,0,0,0,0,1,0
ETH,0,0,0,0,0,0,0,0,0,1,0
FRO,0,0,0,1,0,0,0,1,0,0,0
FLK,0,0,0,0,0,0,0,0,0,1,0
FJI,0,0,0,0,0,0,0,0,0,1,0
FIN,0,0,0,1,0,0,0,1,0,1,0
FRA,0,0,0,1,0,0,0,1,0,1,0
GAB,0,1,0,0,0,0,0,0,0,0,0
GMB,0,0,0,0,0,0,0,0,0,1,0
GEO,0,0,0,0,0,0,0,0,0,1,0
DEU,0,0,0,1,0,0,0,1,0,1,0
GHA,0,0,0,0,0,0,0,0,0,1,0
GIB,0,0,0,0,0,0,0,1,0,0,0
GRC,0,0,0,1,0,0,0,1,0,1,0
GRL,0,0,0,0,0,0,0,1,0,0,0
GRD,0,0,0,0,0,0,0,0,0,1,0
GTM,0,0,0,1,0,0,0,0,0,1,0
GGY,0,0,0,0,0,0,0,1,0,1,0
GIN,1,0,0,0,0,0,0,0,0,0,0
GUY,0,0,0,0,0,0,0,0,0,1,0
HND,0,0,0,1,0,0,0,0,0,1,0
HKG,0,0,0,0,0,1,0,1,0,0,0
HUN,1,1,0,1,0,0,0,1,0,1,0
ISL,0,0,0,1,0,0,0,1,0,1,0
IND,0,0,1,0,0,0,0,0,0,1,0
IDN,0,0,0,0,0,1,0,0,0,1,0
IRN,1,0,0,0,0,0,0,0,0,0,0
IRQ,0,1,0,0,0,0,0,0,0,1,0
IRL,0,0,0,1,0,0,0,1,0,1,0
IMN,0,0,0,0,0,0,0,1,0,1,0
ISR,0,0,0,1,0,0,0,1,0,0,0
ITA,0,0,0,1,0,0,0,1,0,1,0
JAM,0,0,0,0,0,0,0,0,0,1,0
JPN,0,0,0,0,0,0,0,1,0,0,0
JEY,0,0,0,0,0,0,0,1,0,1,0
JOR,0,1,0,0,0,0,0,1,0,0,0
KAZ,1,0,0,0,0,0,0,0,0,0,0
KEN,1,0,0,0,0,0,0,0,0,1,0
KWT,0,0,0,0,0,0,0,1,0,0,0
KGZ,0,1,0,0,0,0,0,0,0,0,0
LAO,1,1,0,0,0,0,0,0,0,0,0
LVA,0,0,0,1,0,0,0,1,0,1,0
LBN,1,1,0,0,0,0,0,1,0,1,0
LSO,0,0,0,0,0,0,0,0,0,1,0
LIE,0,0,0,1,0,0,0,1,0,0,0
LTU,0,0,0,1,0,0,0,1,0,1,0
LUX,0,0,0,1,0,0,0,1,0,1,0
MAC,0,1,0,0,0,0,0,1,0,0,0
MWI,0,0,0,0,0,0,0,0,0,1,0
MYS,0,0,0,0,0,1,0,1,0,0,0
MDV,0,1,0,0,0,0,0,1,0,1,0
MLI,0,0,0,0,0,0,0,0,0,1,0
MLT,0,0,0,1,0,0,0,1,0,1,0
MRT,0,1,0,0,0,0,0,0,0,0,0
MUS,0,0,0,0,0,0,0,0,0,1,0
MEX,1,0,0,0,0,1,0,1,0,1,1
MDA,0,0,0,0,0,0,0,0,0,1,0
MCO,0,0,0,0,0,0,0,1,0,0,0
MNG,0,0,0,0,0,0,0,0,0,1,0
MNE,1,1,0,0,0,0,0,0,0,0,0
MSR,0,0,0,0,0,0,0,0,0,1,0
MAR,0,1,0,0,0,0,0,0,0,1,0
MOZ,0,1,0,0,0,0,0,0,0,0,0
MMR,0,0,0,0,0,0,0,0,0,1,0
NAM,0,1,0,0,0,0,0,0,0,1,0
NRU,0,0,0,0,0,0,0,0,0,1,0
NPL,0,0,0,0,0,0,0,0,0,1,0
NLD,0,0,0,1,0,0,0,1,0,1,0
NZL,0,0,0,0,0,0,0,1,0,0,0
NIC,1,0,0,0,0,0,0,0,0,1,0
NER,0,1,0,0,0,0,0,0,0,0,0
NGA,0,0,0,0,0,0,0,0,0,1,0
MKD,0,0,0,0,0,0,0,1,0,0,0
NOR,0,0,0,1,0,0,0,1,0,1,0
OMN,0,0,0,0,0,0,0,1,0,1,0
PAK,1,1,0,0,0,0,0,0,0,0,1
PSE,0,0,0,1,0,0,0,1,0,1,0
PAN,0,0,0,0,0,0,0,1,0,1,0
PNG,0,0,0,0,0,0,0,0,0,1,0
PRY,1,0,0,0,0,0,0,0,0,0,0
PER,0,1,0,0,0,0,0,1,0,0,0
PHL,0,0,0,0,0,1,0,0,0,1,0
POL,0,0,0,1,0,0,0,1,1,1,0
PRT,0,0,0,1,0,0,0,1,0,1,0
QAT,0,0,0,0,0,0,0,1,0,0,0
ROU,0,0,0,1,0,0,0,1,0,1,0
RUS,1,0,0,0,1,0,0,0,0,0,0
RWA,0,0,0,1,0,0,0,1,0,1,0
SHN,0,0,0,0,0,0,0,0,0,1,0
KNA,0,0,0,0,0,0,0,0,0,1,0
LCA,0,0,0,0,0,0,0,0,0,1,0
VCT,0,0,0,0,0,0,0,0,0,1,0
SMR,1,0,0,0,0,0,0,1,0,0,0
STP,0,0,0,0,0,0,0,0,0,1,0
SAU,0,0,0,0,0,0,0,1,0,1,0
SEN,0,1,0,0,0,0,0,0,0,0,0
SRB,1,1,0,0,0,0,0,1,0,1,0
SYC,0,1,0,0,0,0,0,0,0,1,0
SLE,0,0,0,0,0,0,0,0,0,1,0
SGP,0,0,0,1,0,0,0,1,0,0,0
SVK,0,0,0,0,0,0,0,1,0,0,0
SVN,0,0,0,0,0,0,0,1,0,1,0
SLB,0,0,0,0,0,0,0,0,0,1,0
ZAF,0,0,0,0,0,0,0,0,1,0,0
KOR,0,0,0,0,0,0,0,1,0,1,0
SSD,0,0,0,0,0,0,0,0,0,1,0
ESP,0,0,0,1,0,0,0,1,0,1,0
LKA,0,0,0,0,0,0,0,0,0,1,0
SDN,0,0,0,0,0,0,0,0,0,1,0
SUR,0,0,0,0,0,0,0,0,0,1,0
SWE,0,0,0,0,0,0,0,1,0,1,0
CHE,0,0,0,1,0,0,0,1,0,0,0
SYR,1,0,0,0,0,0,0,0,0,0,0
TWN,0,0,0,0,0,0,0,0,0,1,0
THA,0,0,0,0,0,1,0,0,0,1,0
TLS,0,0,0,0,0,0,0,0,0,1,0
TGO,0,0,0,0,0,0,0,0,0,1,0
TON,0,0,0,0,0,0,0,0,0,1,0
TTO,0,0,0,0,0,0,0,0,0,1,0
TUN,1,0,0,0,0,1,0,1,0,0,0
TUR,0,0,0,0,0,1,0,1,0,0,0
TCA,0,0,0,0,0,0,0,1,0,0,0
UGA,0,0,0,0,0,0,0,0,0,1,0
UKR,0,0,0,0,0,0,0,0,0,1,0
ARE,1,1,0,0,0,0,1,1,0,1,0
GBR,0,0,0,0,0,0,0,1,0,1,0
USA,0,0,0,1,0,0,0,1,1,0,0
URY,0,0,0,0,0,1,0,1,0,1,0
UZB,0,0,0,0,0,0,0,0,0,1,0
VEN,1,0,0,0,0,0,0,0,0,0,0
VNM,0,0,0,0,0,0,0,0,0,1,0
ZMB,0,0,0,0,0,0,0,0,0,1,0
ZWE,0,1,0,0,0,0,0,0,0,0,0
